comp,rep,dispersal,kernel_exp,extirp_prob,mean_alpha
stable,1,2.6101572156825386e-5,0.5833333333333333,0.1,0
stable,1,2.6101572156825386e-5,0.625,0,3.17
stable,1,2.6101572156825386e-5,0.625,0.05,0
stable,1,2.6101572156825386e-5,0.625,0.1,0
stable,1,2.6101572156825386e-5,0.6666666666666666,0,3.13
stable,1,2.6101572156825386e-5,0.6666666666666666,0.05,0
stable,1,2.6101572156825386e-5,0.6666666666666666,0.1,0
stable,1,2.6101572156825386e-5,0.7083333333333333,0,3.07
stable,1,2.6101572156825386e-5,0.7083333333333333,0.05,0
stable,1,2.6101572156825386e-5,0.7083333333333333,0.1,0
stable,1,2.6101572156825386e-5,0.75,0,3.1
stable,1,2.6101572156825386e-5,0.75,0.05,0
stable,1,2.6101572156825386e-5,0.75,0.1,0
stable,1,2.6101572156825386e-5,0.7916666666666666,0,3.14
stable,1,2.6101572156825386e-5,0.7916666666666666,0.05,0
stable,1,2.6101572156825386e-5,0.7916666666666666,0.1,0
stable,1,2.6101572156825386e-5,0.8333333333333333,0,3.18
stable,1,2.6101572156825386e-5,0.8333333333333333,0.05,0
stable,1,2.6101572156825386e-5,0.8333333333333333,0.1,0
stable,1,2.6101572156825386e-5,0.875,0,3.14
stable,1,2.6101572156825386e-5,0.875,0.05,0
stable,1,2.6101572156825386e-5,0.875,0.1,0
stable,1,2.6101572156825386e-5,0.9166666666666666,0,3.11
stable,1,2.6101572156825386e-5,0.9166666666666666,0.05,0
stable,1,2.6101572156825386e-5,0.9166666666666666,0.1,0
stable,1,2.6101572156825386e-5,0.9583333333333333,0,3.05
stable,1,2.6101572156825386e-5,0.9583333333333333,0.05,0
stable,1,2.6101572156825386e-5,0.9583333333333333,0.1,0
stable,1,2.6101572156825386e-5,1,0,3
stable,1,2.6101572156825386e-5,1,0.05,0
stable,1,2.6101572156825386e-5,1,0.1,0
stable,1,4.216965034285822e-5,0,0,3.62
stable,1,4.216965034285822e-5,0,0.05,0
stable,1,4.216965034285822e-5,0,0.1,0
stable,1,4.216965034285822e-5,0.041666666666666664,0,3.55
stable,1,4.216965034285822e-5,0.041666666666666664,0.05,0
stable,1,4.216965034285822e-5,0.041666666666666664,0.1,0
stable,1,4.216965034285822e-5,0.08333333333333333,0,3.58
stable,1,4.216965034285822e-5,0.08333333333333333,0.05,0
stable,1,4.216965034285822e-5,0.08333333333333333,0.1,0
stable,1,4.216965034285822e-5,0.125,0,3.41
stable,1,4.216965034285822e-5,0.125,0.05,0
stable,1,4.216965034285822e-5,0.125,0.1,0
stable,1,4.216965034285822e-5,0.16666666666666666,0,3.24
