comp,rep,dispersal,kernel_exp,extirp_prob,mean_alpha,gamma,beta
priority,1,1.6155980984398728e-5,0.7916666666666666,0.1,0,0,0
priority,1,1.6155980984398728e-5,0.8333333333333333,0,1,29,29
priority,1,1.6155980984398728e-5,0.8333333333333333,0.05,0,0,0
priority,1,1.6155980984398728e-5,0.8333333333333333,0.1,0,0,0
priority,1,1.6155980984398728e-5,0.875,0,1,25,25
priority,1,1.6155980984398728e-5,0.875,0.05,0,0,0
priority,1,1.6155980984398728e-5,0.875,0.1,0,0,0
priority,1,1.6155980984398728e-5,0.9166666666666666,0,1,24,24
priority,1,1.6155980984398728e-5,0.9166666666666666,0.05,0,0,0
priority,1,1.6155980984398728e-5,0.9166666666666666,0.1,0,0,0
priority,1,1.6155980984398728e-5,0.9583333333333333,0,1,23,23
priority,1,1.6155980984398728e-5,0.9583333333333333,0.05,0,0,0
priority,1,1.6155980984398728e-5,0.9583333333333333,0.1,0,0,0
priority,1,1.6155980984398728e-5,1,0,1,26,26
priority,1,1.6155980984398728e-5,1,0.05,0,0,0
priority,1,1.6155980984398728e-5,1,0.1,0,0,0
priority,1,2.6101572156825386e-5,0,0,1,26,26
priority,1,2.6101572156825386e-5,0,0.05,0,0,0
priority,1,2.6101572156825386e-5,0,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.041666666666666664,0,1.01,26,25.742574257425744
priority,1,2.6101572156825386e-5,0.041666666666666664,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.041666666666666664,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.08333333333333333,0,1.01,26,25.742574257425744
priority,1,2.6101572156825386e-5,0.08333333333333333,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.08333333333333333,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.125,0,1.01,25,24.752475247524753
priority,1,2.6101572156825386e-5,0.125,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.125,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.16666666666666666,0,1,30,30
priority,1,2.6101572156825386e-5,0.16666666666666666,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.16666666666666666,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.20833333333333331,0,1.02,24,23.52941176470588
priority,1,2.6101572156825386e-5,0.20833333333333331,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.20833333333333331,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.25,0,1,24,24
priority,1,2.6101572156825386e-5,0.25,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.25,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.29166666666666663,0,1.01,22,21.782178217821784
priority,1,2.6101572156825386e-5,0.29166666666666663,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.29166666666666663,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.3333333333333333,0,1,24,24
priority,1,2.6101572156825386e-5,0.3333333333333333,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.3333333333333333,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.375,0,1,27,27
priority,1,2.6101572156825386e-5,0.375,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.375,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.41666666666666663,0,1,23,23
priority,1,2.6101572156825386e-5,0.41666666666666663,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.41666666666666663,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.4583333333333333,0,1,27,27
priority,1,2.6101572156825386e-5,0.4583333333333333,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.4583333333333333,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.5,0,1,26,26
priority,1,2.6101572156825386e-5,0.5,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.5,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.5416666666666666,0,1,22,22
priority,1,2.6101572156825386e-5,0.5416666666666666,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.5416666666666666,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.5833333333333333,0,1,24,24
priority,1,2.6101572156825386e-5,0.5833333333333333,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.5833333333333333,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.625,0,1,25,25
priority,1,2.6101572156825386e-5,0.625,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.625,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.6666666666666666,0,1,23,23
priority,1,2.6101572156825386e-5,0.6666666666666666,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.6666666666666666,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.7083333333333333,0,1,27,27
priority,1,2.6101572156825386e-5,0.7083333333333333,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.7083333333333333,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.75,0,1,25,25
priority,1,2.6101572156825386e-5,0.75,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.75,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.7916666666666666,0,1,23,23
priority,1,2.6101572156825386e-5,0.7916666666666666,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.7916666666666666,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.8333333333333333,0,1,22,22
priority,1,2.6101572156825386e-5,0.8333333333333333,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.8333333333333333,0.1,0,0,0
priority,1,2.6101572156825386e-5,0.875,0,1,30,30
priority,1,2.6101572156825386e-5,0.875,0.05,0,0,0
priority,1,2.6101572156825386e-5,0.875,0.1,0,0,0
