comp,rep,dispersal,kernel_exp,extirp_prob,mean_alpha,gamma,beta
stable,1,1e-5,0.75,0.1,0,0,0
stable,1,1e-5,0.7916666666666666,0,2.57,34,13.229571984435799
stable,1,1e-5,0.7916666666666666,0.025,0,0,0
stable,1,1e-5,0.7916666666666666,0.05,0,0,0
stable,1,1e-5,0.7916666666666666,0.07500000000000001,0,0,0
stable,1,1e-5,0.7916666666666666,0.1,0,0,0
stable,1,1e-5,0.8333333333333333,0,2.3,31,13.478260869565219
stable,1,1e-5,0.8333333333333333,0.025,0,0,0
stable,1,1e-5,0.8333333333333333,0.05,0,0,0
stable,1,1e-5,0.8333333333333333,0.07500000000000001,0,0,0
stable,1,1e-5,0.8333333333333333,0.1,0,0,0
stable,1,1e-5,0.875,0,2.32,35,15.086206896551726
stable,1,1e-5,0.875,0.025,0,0,0
stable,1,1e-5,0.875,0.05,0,0,0
stable,1,1e-5,0.875,0.07500000000000001,0,0,0
stable,1,1e-5,0.875,0.1,0,0,0
stable,1,1e-5,0.9166666666666666,0,2.47,32,12.955465587044534
stable,1,1e-5,0.9166666666666666,0.025,0,0,0
stable,1,1e-5,0.9166666666666666,0.05,0,0,0
stable,1,1e-5,0.9166666666666666,0.07500000000000001,0,0,0
stable,1,1e-5,0.9166666666666666,0.1,0,0,0
stable,1,1e-5,0.9583333333333333,0,2.33,33,14.163090128755364
stable,1,1e-5,0.9583333333333333,0.025,0,0,0
stable,1,1e-5,0.9583333333333333,0.05,0,0,0
stable,1,1e-5,0.9583333333333333,0.07500000000000001,0,0,0
stable,1,1e-5,0.9583333333333333,0.1,0,0,0
stable,1,1e-5,1,0,2.44,28,11.475409836065573
stable,1,1e-5,1,0.025,0,0,0
stable,1,1e-5,1,0.05,0,0,0
stable,1,1e-5,1,0.07500000000000001,0,0,0
stable,1,1e-5,1,0.1,0,0,0
stable,1,1.6155980984398728e-5,0,0,2.36,25,10.593220338983052
stable,1,1.6155980984398728e-5,0,0.025,0,0,0
stable,1,1.6155980984398728e-5,0,0.05,0,0,0
stable,1,1.6155980984398728e-5,0,0.07500000000000001,0,0,0
