rep,condition,disp_rate,kernel_exp,germ_rate,survival_rate,disturb_rate,temp_noise_color,temp_noise_sd,spat_heterogeneity,env_temp_cv_mean.env_temp_cv_mean,env_spat_cv_mean.env_spat_cv_mean,CV_S_L,CV_C_L,CV_S_R,CV_C_R,phi_S_L2R,phi_C_L2R,phi_S2C_L,phi_S2C_R,alpha_div,beta_div,gamma_div,beta_spatial,beta_temporal,local_dsr_richness,local_dsr_cv
1,stable,1e-5,0,0.4,0.5,0,0,0.1,0.1,0.29333339940387176,0.3333431200092879,0.2115185244227109,0.14137437115775098,0.09352485158013081,0.024407540447214368,0.4421591528939816,0.17264473219109489,0.6683782025408811,0.260973848499533,1.8813999999999973,15.945626477541394,30,0.8797112236289679,0.0068426704413740444,1.8814,0.14660466746649467
1,stable,1.8329807108324375e-5,0,0.4,0.5,0,0,0.1,0.1,0.29333339940387176,0.3333431200092879,0.21940536434341373,0.1434243765264112,0.08686429791976638,0.02570808113979376,0.3959078128272479,0.17924485197298165,0.6536958517656072,0.29595681719018146,1.9106,14.132318724612372,27,0.8865185647981174,0.011678133902957325,1.9106,0.14750155984754157
1,stable,3.359818286283781e-5,0,0.4,0.5,0,0,0.1,0.1,0.29333339940387176,0.3333431200092879,0.24320494544123591,0.14647403563852326,0.09060253593403379,0.025881886938006467,0.37253574662989536,0.17669948687615342,0.6022658600662167,0.2856640453954914,2.0399000000000025,15.197533550219939,31,0.8556522191986788,0.019299579997056542,2.0399000000000003,0.15124240839401498
1,stable,6.158482110660267e-5,0,0.4,0.5,0,0,0.1,0.1,0.29333339940387176,0.3333431200092879,0.23212748511639797,0.1441267823805242,0.09538978575563671,0.02739057349002111,0.41093705774568,0.1900449939810936,0.6208949461898202,0.28714367343468494,1.9563999999999984,14.82388093760793,29,0.8690402475460136,0.012769382349069271,1.9564,0.14983872818800192
1,stable,1.1288378916846884e-4,0,0.4,0.5,0,0,0.1,0.1,0.29333339940387176,0.3333431200092879,0.2557528352127913,0.1438777993545735,0.09621493875002007,0.022393935952935658,0.37620282359711626,0.1556455273391267,0.562565803952337,0.2327490537734296,2.0286,12.585917178713803,25.53,0.839910325603139,0.02272807914321933,2.0286,0.14807773194838
1,stable,2.0691380811147902e-4,0,0.4,0.5,0,0,0.1,0.1,0.29333339940387176,0.3333431200092879,0.26401857865414896,0.14736964816308318,0.09575631010606976,0.02093519108033335,0.3626877721794939,0.1420590422877709,0.5581790831323654,0.21862988514431403,2.071100000000001,12.69871924998123,26.3,0.7963009341194646,0.024745958497236157,2.0711,0.15292278076443008
1,stable,3.79269019073225e-4,0,0.4,0.5,0,0,0.1,0.1,0.29333339940387176,0.3333431200092879,0.31339795803347303,0.15212296821815866,0.09638875202426524,0.03013482278424419,0.30756024266747223,0.19809515379050466,0.4853987217169771,0.3126383748246678,2.246799999999999,9.351928633906342,21,0.8040144016581696,0.04777823091878003,2.2468,0.15776392162524944
1,stable,6.951927961775605e-4,0,0.4,0.5,0,0,0.1,0.1,0.29333339940387176,0.3333431200092879,0.3539478304194762,0.15147463435270167,0.12564404583054625,0.03070769748813018,0.3549789969941079,0.20272501478121235,0.4279575161491559,0.24440232949474638,2.545000000000001,7.996730466232133,20.35,0.7054453413661358,0.06061120418517585,2.545,0.15521228187921293
1,stable,0.0012742749857031334,0,0.4,0.5,0,0,0.1,0.1,0.29333339940387176,0.3333431200092879,0.40765665894542163,0.15894389807976225,0.1296549475982738,0.030933735253415324,0.318049379921039,0.19462046437222746,0.389896484190737,0.23858507389367967,2.6861,5.5862753595989805,15,0.7319578174886663,0.0815333716698824,2.6861,0.16183900031578324
1,stable,0.002335721469090121,0,0.4,0.5,0,0,0.1,0.1,0.29333339940387176,0.3333431200092879,0.5128822041449,0.15008929280481945,0.17214949952848652,0.019565287830195288,0.3356511458912906,0.13035765219867193,0.2926389170687935,0.11365288823832864,3.4611999999999994,3.7571955934261347,13,0.5980105409667408,0.12425440077666232,3.4612,0.15277938810084551
1,stable,0.004281332398719391,0,0.4,0.5,0,0,0.1,0.1,0.29333339940387176,0.3333431200092879,0.5633814682942889,0.15173051823239253,0.18320277420015274,0.028460897559436194,0.32518423929495427,0.18757530054596594,0.26932110261236764,0.15535189182420397,4.0255,3.1430795768859143,12.65,0.5635682744404746,0.14761001904475596,4.0255,0.15510315967182126
1,stable,0.007847599703514606,0,0.4,0.5,0,0,0.1,0.1,0.29333339940387176,0.3333431200092879,0.5857115736811778,0.14082688709944408,0.21547552611315787,0.03189207561720014,0.36788674800960713,0.2264629736129844,0.24043726200312515,0.14800787909644958,4.8791,2.050928691852673,10,0.4442265427176217,0.1543957838667496,4.8791,0.14409789325768022
