rep,condition,disp_rate,kernel_exp,disturb_rate,temp_noise_color,temp_noise_sd,spat_heterogeneity,env_temp_cv_mean.env_temp_cv_mean,env_spat_cv_mean.env_spat_cv_mean,CV_S_L,CV_C_L,CV_S_R,CV_C_R,phi_S_L2R,phi_C_L2R,phi_S2C_L,phi_S2C_R,alpha_div,beta_div,gamma_div,beta_spatial,beta_temporal,local_dsr_richness,local_dsr_cv
1,stable,1e-5,0,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.19821570136502795,0.08813055977007915,0.08742436834292648,0.01610993597928828,0.44105672628793646,0.1827962516216503,0.4446194684031646,0.18427283244525425,3.110000000000002,10.289486757107788,32,0.792883934202113,0.010889839329609576,3.11,0.08919197221002134
1,stable,1.8329807108324375e-5,0,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.1982148960973264,0.09112344235428381,0.08688264615484517,0.0190634405825968,0.4383255136999619,0.2092045700872341,0.45972045566918884,0.21941597575908653,3.0387000000000017,10.531032573372437,32,0.7998103868447756,0.01020344697114545,3.0387,0.09253239741858404
1,stable,3.359818286283781e-5,0,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.2032862153392382,0.08985164221776461,0.08072664542608282,0.01891837603170024,0.39710831003159025,0.21055125498819074,0.44199574510166745,0.23435107369874314,3.1965000000000003,10.011100863380278,32,0.7367011149889235,0.012411496668611363,3.1965,0.09095938764305907
1,stable,6.158482110660267e-5,0,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.21799851404519885,0.09065559057849758,0.09371630841217181,0.015606617424627899,0.4298942532825755,0.17215284049265905,0.4158541675183228,0.1665304330596202,3.3637999999999995,8.918770345740022,30,0.7294893606349685,0.01813678229135159,3.3638,0.0920249896567858
1,stable,1.1288378916846884e-4,0,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.2412305714706318,0.09120153580368265,0.09465390724749297,0.015261606285058122,0.3923794014599698,0.16733935619143236,0.3780679009616566,0.1612358826894845,3.4602,9.248867123839728,32,0.7700750609105353,0.026280307270807633,3.4602,0.09257968615082642
1,stable,2.0691380811147902e-4,0,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.2435540097961922,0.09178944796837812,0.09301522906249529,0.015992160330681945,0.38190801761108806,0.174226566175573,0.3768751253374486,0.17193055902638368,3.597800000000001,7.227228668367104,26,0.6842785177115196,0.02479453290687616,3.5978,0.09268969283414596
1,stable,3.79269019073225e-4,0,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.2370178649684403,0.08921165558920177,0.07943926146485412,0.018802154668563983,0.33516149289181946,0.21075894785703098,0.3763921154259009,0.2366859198065747,3.932399999999999,5.841025343332547,22.97,0.4706394120356204,0.02480611951810313,3.9324,0.09019544578628218
1,stable,6.951927961775605e-4,0,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.2478440310193453,0.09047127572007369,0.08161641400077257,0.0203410324677254,0.32930554617392443,0.22483415101454293,0.36503310306880865,0.24922722612552975,4.153499999999999,5.428117607628455,22.55,0.4077345417741109,0.026672879546020795,4.1535,0.09102484032054159
1,stable,0.0012742749857031334,0,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.25310609518406163,0.09042301725131545,0.08305742890305788,0.020275732423731672,0.32815262249080795,0.22423198252032125,0.35725341653885817,0.24411702470825208,4.309699999999999,3.5575173578289165,15.33,0.31820415208547753,0.027123514248741085,4.3097,0.09108199502007813
1,stable,0.002335721469090121,0,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.24964598883803638,0.0895058800144671,0.08101728804740217,0.02001621197532389,0.32452869931735223,0.22363013437875376,0.35853121626775314,0.24706099719868013,4.4155,2.8992117844407956,12.8,0.28167781721879204,0.026330794765942786,4.4155,0.09012749705048889
